,Date
1409,28/02/2020
1410,28/02/2020
1411,28/02/2020
1412,28/02/2020
1413,28/02/2020
1414,29/02/2020
1415,29/02/2020
1416,29/02/2020
1417,29/02/2020
1418,29/02/2020
1419,29/02/2020
1420,29/02/2020
1421,29/02/2020
1422,29/02/2020
1423,29/02/2020
1424,29/02/2020
1425,29/02/2020
1426,29/02/2020
1427,29/02/2020
1428,29/02/2020
1429,29/02/2020
1430,29/02/2020
1431,29/02/2020
1432,29/02/2020
1433,29/02/2020
1434,29/02/2020
1435,29/02/2020
1436,29/02/2020
1437,29/02/2020
1438,01/03/2020
1439,01/03/2020
1440,01/03/2020
1441,01/03/2020
1442,01/03/2020
1443,01/03/2020
1444,01/03/2020
1445,01/03/2020
1446,01/03/2020
1447,01/03/2020
1448,01/03/2020
1449,01/03/2020
1450,01/03/2020
1451,01/03/2020
1452,01/03/2020
1453,01/03/2020
1454,01/03/2020
1455,01/03/2020
1456,01/03/2020
1457,01/03/2020
1458,01/03/2020
1459,01/03/2020
1460,01/03/2020
1461,01/03/2020
1462,02/03/2020
1463,02/03/2020
1464,02/03/2020
1465,02/03/2020
1466,02/03/2020
1467,02/03/2020
1468,02/03/2020
1469,02/03/2020
1470,02/03/2020
1471,02/03/2020
1472,02/03/2020
1473,02/03/2020
1474,02/03/2020
1475,02/03/2020
1476,02/03/2020
1477,02/03/2020
1478,02/03/2020
1479,02/03/2020
1480,02/03/2020
1481,02/03/2020
1482,02/03/2020
1483,02/03/2020
1484,02/03/2020
1485,02/03/2020
1486,03/03/2020
1487,03/03/2020
1488,03/03/2020
1489,03/03/2020
1490,03/03/2020
1491,03/03/2020
1492,03/03/2020
1493,03/03/2020
1494,03/03/2020
1495,03/03/2020
1496,03/03/2020
